ADMIN_CODE,LAND_USE_EN,LAND_USE_FR,POP_2015
HT0722-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",8072
HT0134-05,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,10177
HT0631-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,14570
HT0131-05,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",21751
HT0731-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,8271
HT0361-03,North Tubers and Horticulture,Nord tubercules et horticulture,16195
HT0115-01,West Gardening and Beans,Ouest maraîchage et haricot,7677
HT0834-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",3626
HT0931-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,19361
HT0372-07,North Tubers and Horticulture,Nord tubercules et horticulture,8072
HT0121-06,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",7205
HT0934-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,33784
HT0371-02,North Tubers and Horticulture,Nord tubercules et horticulture,5931
HT0141-03,Western Banana Plains of Arcahaie,Plaine ouest bananière d'Arcahaie,26563
HT0922-03,North Tubers and Horticulture,Nord tubercules et horticulture,7441
HT0421-05,North Tubers and Horticulture,Nord tubercules et horticulture,10642
HT0331-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,6868
HT0822-03,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",7174
HT0313-03,North Tubers and Horticulture,Nord tubercules et horticulture,15713
HT0752-03,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",13757
HT0323-03,North Tubers and Horticulture,Nord tubercules et horticulture,15689
HT0372-03,North Tubers and Horticulture,Nord tubercules et horticulture,5931
HT0832-04,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",6026
HT0113-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",14028
HT0751-01,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",10791
HT0912-02,North Tubers and Horticulture,Nord tubercules et horticulture,26046
HT0521-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,13010
HT0723-02,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",11487
HT0521-08,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,18233
HT0213-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,10361
HT0551-05,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,14129
HT0212-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,9997
HT0211-05,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",3836
HT0512-04,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,9775
HT0731-05,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,5408
HT0613-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,11372
